County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Androscoggin,"108,518","108,971","109,342","110,075","110,702","111,129","112,733","113,454","114,477","115,272"
Aroostook,"68,949","68,414","67,749","67,427","67,232","67,097","67,062","67,250","67,149","66,776"
Cumberland,"292,494","294,845","296,403","298,748","300,968","303,069","306,152","309,309","311,258","313,809"
Franklin,"29,727","29,642","29,397","29,364","29,522","29,455","30,265","30,604","30,826","30,902"
Hancock,"54,454","54,747","54,824","55,122","55,404","55,480","56,362","56,677","56,801","56,946"
Kennebec,"121,482","122,037","122,548","122,744","122,979","123,640","125,775","127,143","127,936","128,461"
Knox,"40,143","40,181","40,252","40,303","40,401","40,595","41,078","41,251","41,044","40,981"
Lincoln,"34,021","34,268","34,549","34,760","35,094","35,233","36,024","36,263","36,460","36,491"
Oxford,"57,035","57,163","57,328","57,525","57,613","57,779","58,690","59,539","60,115","60,039"
Penobscot,"152,276","151,714","152,127","152,188","152,259","152,202","153,383","154,817","156,329","156,840"
Piscataquis,"16,849","16,811","16,683","16,571","16,720","16,800","17,211","17,383","17,486","17,432"
Sagadahoc,"35,478","35,612","35,942","36,357","36,659","36,704","37,171","37,402","37,541","37,582"
Somerset,"50,658","50,453","50,248","50,426","50,569","50,485","50,788","51,027","51,171","51,338"
Waldo,"39,002","39,300","39,596","39,456","39,506","39,602","39,974","40,212","40,490","40,617"
Washington,"31,618","31,411","31,142","30,893","30,995","31,108","31,213","31,507","31,446","31,383"
York,"203,064","204,723","206,826","208,647","210,900","211,979","215,050","217,084","219,117","220,143"
